Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
InternetGatewayDevice.DeviceInfo.SoftwareVersion,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"V3R013C00S106",xsd:string,2024-03-17T06:42:51.607Z,,,,
InternetGatewayDevice.DeviceInfo.SpecVersion,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"1.0",xsd:string,2024-03-17T06:42:51.607Z,,,,
InternetGatewayDevice.DeviceInfo.UpTime,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"4388",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.DeviceInfo.X_HW_Alarm,true,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_HW_Alarm.AlarmConfig,true,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_HW_Alarm.AlarmNumber,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.DeviceInfo.X_HW_Alarm.AlarmNumberOfEntries,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"0",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.DeviceInfo.X_HW_Alarm.Enable,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"false",xsd:boolean,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.DeviceInfo.X_HW_Alarm.MonitorConfig,true,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_HW_CpuUsed,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"26",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.DeviceInfo.X_HW_CurTime,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"2024-03-17 08:42:25 DST 0
",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.DeviceInfo.X_HW_IPProtocolVersion,true,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_HW_IPProtocolVersion.Mode,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"3",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.DeviceInfo.X_HW_Loid,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.DeviceInfo.X_HW_MemUsed,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"55",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.DeviceInfo.X_HW_Monitor,true,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_HW_Monitor.Enable,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"false",xsd:boolean,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.DeviceInfo.X_HW_Monitor.MonitorNumberOfEntries,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"0",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.DeviceInfo.X_HW_ServiceAccessInfo,true,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_HW_ServiceAccessInfo.BANDAccess,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.DeviceInfo.X_HW_ServiceAccessInfo.IPTVAccess,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.DeviceInfo.X_HW_ServiceAccessInfo.VOIPAccess,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.DeviceInfo.X_HW_Syslog,true,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_HW_Syslog.Enable,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"true",xsd:boolean,2024-03-17T06:42:51.610Z,,,,
